datum_zajema,mesto,smer vetra [°],pm10 [µg/m³],padavine [mm],temperatura [°C],veter [m/s]
2023-01-01 02:00:00,celje,251.0,5.8,0.0,13.5,7.8
2023-01-01 02:30:00,celje,271.0,4.6,0.0,12.8,4.5
2023-01-01 03:00:00,celje,264.0,6.0,0.0,11.9,3.2
2023-01-01 03:30:00,celje,256.0,6.0,0.0,12.8,4.7
2023-01-01 04:00:00,celje,253.0,6.0,0.0,12.8,4.3
2023-01-01 04:30:00,celje,255.0,4.8,0.0,13.0,4.5
2023-01-01 05:00:00,celje,254.0,4.9,0.0,13.1,4.5
2023-01-01 05:30:00,celje,258.0,5.1,0.0,12.7,4.1
2023-01-01 06:00:00,celje,264.0,4.0,0.0,12.8,3.9
2023-01-01 06:30:00,celje,301.0,5.3,0.0,11.0,2.3
2023-01-01 07:00:00,celje,274.0,6.2,0.0,11.2,3.7
2023-01-01 07:30:00,celje,253.0,4.0,0.0,13.4,7.9
2023-01-01 08:00:00,celje,264.0,3.0,0.0,13.0,5.9
2023-01-01 08:30:00,celje,269.0,5.4,0.0,12.6,4.8
2023-01-01 09:00:00,celje,267.0,4.2,0.0,12.9,5.6
2023-01-01 09:30:00,celje,276.0,6.0,0.0,12.4,4.9
2023-01-01 10:00:00,celje,269.0,5.6,0.0,12.6,2.2
2023-01-01 10:30:00,celje,269.0,5.7,0.0,14.4,5.1
2023-01-01 11:00:00,celje,261.0,2.9,0.0,15.3,5.6
2023-01-01 11:30:00,celje,283.0,3.8,0.0,15.2,5.6
2023-01-01 12:00:00,celje,283.0,5.1,0.0,15.4,5.6
2023-01-01 12:30:00,celje,266.0,4.1,0.0,15.6,6.5
2023-01-01 13:00:00,celje,262.0,3.9,0.0,15.9,5.6
2023-01-01 13:30:00,celje,256.0,3.7,0.0,15.9,5.9
2023-01-01 14:00:00,celje,261.0,4.2,0.0,16.1,6.0
2023-01-01 14:30:00,celje,256.0,4.6,0.0,15.8,6.8
2023-01-01 15:00:00,celje,259.0,3.6,0.0,15.5,6.3
2023-01-01 15:30:00,celje,257.0,3.2,0.0,15.1,4.8
2023-01-01 16:00:00,celje,252.0,3.4,0.0,13.6,3.0
2023-01-01 16:30:00,celje,248.0,3.3,0.0,12.8,2.9
2023-01-01 17:00:00,celje,273.0,3.3,0.0,11.9,3.0
2023-01-01 17:30:00,celje,214.0,8.5,0.0,10.9,1.3
2023-01-01 18:00:00,celje,170.0,9.4,0.0,9.7,0.9
2023-01-01 18:30:00,celje,158.0,10.0,0.0,8.5,0.8
2023-01-01 19:00:00,celje,194.0,12.4,0.0,7.4,0.7
2023-01-01 19:30:00,celje,167.0,13.6,0.0,7.0,0.5
2023-01-01 20:00:00,celje,216.0,14.1,0.0,6.5,0.6
2023-01-01 20:30:00,celje,230.0,16.6,0.0,6.0,1.0
2023-01-01 21:00:00,celje,241.0,20.6,0.0,6.1,1.1
2023-01-01 21:30:00,celje,214.0,17.4,0.0,5.9,1.4
2023-01-01 22:00:00,celje,233.0,8.5,0.0,7.7,1.9
2023-01-01 22:30:00,celje,229.0,7.8,0.0,8.1,1.6
2023-01-01 23:00:00,celje,230.0,8.1,0.0,6.9,2.1
2023-01-01 23:30:00,celje,242.0,7.1,0.0,7.3,2.5
2023-01-02 00:00:00,celje,274.0,7.4,0.0,8.9,4.0
2023-01-02 00:30:00,celje,279.0,6.3,0.0,9.4,3.2
